Chemical,SMILES
NCGC00255908-01,CCOC(=O)C(F)(F)F
NCGC00258988-01,COC(C)COC(C)COC(C)CO
NCGC00258275-01,C1=CC2=CC3=C(C=C2C=C1)C4=C5C3=CC=CC5=CC=C4
NCGC00255818-01,CC(C)(C)NC(N)=O
NCGC00257002-01,CCCCC(CC)COP(=O)(OC1=CC=CC=C1)OC2=CC=CC=C2
NCGC00185990-01,NC(CO)(CO)CO.OC(=O)[C@@H]1CCN2C1=CC=C2C(=O)C3=CC=CC=C3
NCGC00094516-01,CCOP(=S)(OCC)OC1=CC2=C(C=C1)C(C)=C(Cl)C(=O)O2
NCGC00257636-01,[H][C@@]12C=C[C@H](O)[C@@H]3OC4=C(OC)C=CC5=C4[C@]13CCN(C)[C@@H]2C5
NCGC00257727-01,CCCCCCCCC(=O)OCC=C
NCGC00255594-01,CC(C)(C)C1=CC=C(CCOC2=NC=NC3=C2C=CC=C3)C=C1
NCGC00255764-01,OS(O)(=O)=O.CC(C)(C)NC(=O)[C@@H]1CN(CC2=CC=CN=C2)CCN1C[C@@H](O)C[C@@H](CC3=CC=CC=C3)C(=O)N[C@@H]4[C@H](O)CC5=C4C=CC=C5
NCGC00254208-01,[K+].CCC1=CC(=CC2=C1OCO2)C3=C(N(C4=CC=CC=C4C(F)(F)F)S(=O)(=O)C5=C3C=CC=C5)C([O-])=O
NCGC00259504-01,CNC(=O)OC1=CC=CC2=C1OC(C)(C)C2
NCGC00254505-01,CC1=CC(=O)NC(=S)N1
NCGC00258686-01,Cl.CN(C)CCN(CC1=CC=CS1)C2=NC=CC=C2
NCGC00185766-01,Cl.COC(=O)CCC1=CC=C(OCC(O)CNC(C)C)C=C1
NCGC00168780-01,Cl.CCN(CC)C(=O)[C@@]1(C[C@@H]1CN)C2=CC=CC=C2
NCGC00258238-01,CC(=C)C1=CC(=CC=C1)C(C)=C
NCGC00254847-01,[H][C@@]12OC\C3=C/C=C/[C@H](C)C\C(C)=C\C[C@]4([H])C[C@@H](C[C@]5(CC[C@H](C)[C@@H](CC)O5)O4)OC(=O)[C@]([H])(C=C(C)[C@H]1O)[C@@]23O
NCGC00016801-01,Cl.CC(C)(C)NC[C@H](O)COC1=CC=CC2=C1CCCC2=O
NCGC00021394-03,[Br-].CCCC(CCC)C(=O)O[C@@H]1C[C@@H]2CC[C@H](C1)[N+]2(C)C
NCGC00254236-01,OC1=C(CC=C)C=C(C=C1)S(=O)(=O)C2=CC(CC=C)=C(O)C=C2
NCGC00259400-01,OC1=C2C(=O)C3=C(O)C=CC=C3CC2=CC=C1
NCGC00164541-01,NC(=O)NS(=O)(=O)C1=CC=C(N)C=C1
NCGC00256445-01,NN.OS(O)(=O)=O
NCGC00256447-01,OC1=CC=C(C=C1)C2=CC=CC=C2
NCGC00160412-01,CN(C)CCOC(=O)C1=CC2=C(C=C1)N(CC3=CC=CC=C3)C(C)=C2C
NCGC00259470-01,OCC(CO)(CO)CO
NCGC00160376-01,[I-].C[N+](C)(C)CCOC(=O)C(O)(C1=CC=CC=C1)C2=CC=CC=C2
NCGC00255626-01,OC1=C(C=C(Cl)C=C1Cl)C(=O)NC2=CC=C(Cl)C(Cl)=C2
NCGC00014483-01,Cl.CNCCC=C1C2=C(CCC3=C1C=CC=C3)C=CC=C2
NCGC00167561-01,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(OC(=O)CCC(O)=O)=C2C
NCGC00163298-01,CC(O)CCCCN1C(=O)N(C)C2=C(N(C)C=N2)C1=O
NCGC00255016-01,COC1=CC=C(COC(C)=O)C=C1
NCGC00094688-01,Cl.N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O
NCGC00016754-01,Cl.Cl.[H][C@@]12O[C@H](C)CC(=O)[C@]1(O)O[C@]3([H])[C@@H](NC)[C@@H](O)[C@@H](NC)[C@H](O)[C@@]3([H])O2
NCGC00255548-01,CC1CC(O)CC(C)(C)C1
NCGC00259268-01,C\C=C\C=C\C(O)=O
NCGC00162100-02,OC(=O)\C=C/C(O)=O.CN(C)CC[C@@H](C1=CC=C(Br)C=C1)C2=CC=CC=N2
NCGC00256230-01,C[C@@H]1CC(=O)C=C2CC[C@H](C[C@@]12C)C(C)=C
NCGC00257700-01,CCC1=CC=C(CC)C=C1
NCGC00259630-01,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C
NCGC00091940-01,Cl.NC(=N)NC(=N)NCCC1=CC=CC=C1
NCGC00256876-01,NC1=C(C=CC=C1)C(=O)OC2=CC3=C(C=CC=C3)C=C2
NCGC00254445-01,CNCC1=CC=C(NC(=O)C2=CNC3=C2C(=O)CCC3)C=C1
NCGC00255017-01,CCCCNC(=O)OCC#CI
NCGC00258798-01,N[C@@H](CC1=CNC2=CC=CC=C12)C(O)=O
NCGC00257441-01,CSSC1=C(C)OC=C1
NCGC00258317-01,CCN(CC)CCOC(=O)C(C)=C
NCGC00181126-01,OC(=O)\C=C\C(O)=O.COC1=CC=C(C[C@@H](C)NC[C@H](O)C2=CC(NC=O)=C(O)C=C2)C=C1.COC3=CC=C(C[C@@H](C)NC[C@H](O)C4=CC(NC=O)=C(O)C=C4)C=C3
NCGC00015836-08,CN1CCN(CC(=O)N2C3=CC=CC=C3C(=O)NC4=C2N=CC=C4)CC1
NCGC00091125-01,OC(=O)C1=CC(O)=C(O)C(O)=C1
NCGC00255115-01,CC(C)CCCCCCCCCCCCCCC(O)=O
NCGC00259357-01,OC(=O)CCCCC1CCSS1
NCGC00259830-01,CC(=C)C(N)=O
NCGC00095010-01,Cl.COC1=CC=C(CN(CCN(C)C)C2=NC=CC=N2)C=C1
NCGC00259965-01,CN(C)C1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)N(C)C
NCGC00257000-01,CC(=O)C(O)=O
NCGC00259892-01,CCOP(=S)(OCC)SCCSCC
NCGC00255186-01,CCCCOC(O)CC
NCGC00016570-01,OS(O)(=O)=O.CNC(C)(C)CC1=CC=CC=C1.CNC(C)(C)CC2=CC=CC=C2
NCGC00257381-01,CC[Si](OC(C)=O)(OC(C)=O)OC(C)=O
NCGC00160275-02,CC1=C2C(O)=CC3=C4C2=C(C(O)=C1)C(=O)C5=C4C(=C(O)C=C5O)C(=O)C3(C)C
NCGC00256253-01,C(N(CC1=CC=CC=C1)CC2=CC=CC=C2)C3=CC=CC=C3
NCGC00254580-01,O=C1C=CC(=O)N1C2=CC=CC=C2
NCGC00255236-01,CN\C(NCC1CCOC1)=N\[N+]([O-])=O
NCGC00254181-01,NC(N)=O
NCGC00182996-01,CCOC(=O)CN1C=CC=C1C2=NC(=C(S2)C3=CC=C(OC)C=C3)C4=CC=C(OC)C=C4
NCGC00256812-01,CC(C)CC=C(C=O)C1=CC=CC=C1
NCGC00256148-01,CCCCC(CC)COP(=O)OCC(CC)CCCC
NCGC00259742-01,OC(=O)\C=C/C(O)=O
NCGC00182085-01,O.Cl.CCCCS(=O)(=O)N[C@@H](CC1=CC=C(OCCCCC2CCNCC2)C=C1)C(O)=O
NCGC00159432-02,OS(=O)(=O)C1=CC2=C(N\C(C2=O)=C3\NC4=C(C=C(C=C4)S(O)(=O)=O)C3=O)C=C1
NCGC00017134-01,OC(=O)C1=C(O)C=CC(=C1)S(O)(=O)=O.[H][C@@]23[C@@H](O)[C@]4([H])C(=C)C5=C(C(O)=CC=C5Cl)C(=O)C4=C(O)[C@]2(O)C(=O)C(C(N)=O)=C(O)[C@H]3N(C)C
NCGC00160561-01,COC1=CC=C(C=C1)C(=O)C(\Br)=C/C(O)=O
NCGC00095975-01,Cl.CNCC1=CC=CC=C1
NCGC00258651-01,CC1=CC(OP(=O)(OC2=CC(C)=CC(C)=C2)OC3=CC(C)=CC(C)=C3)=CC(C)=C1
NCGC00256778-01,CC(O)C1CCCCC1
NCGC00259383-01,CCC1=NC(N)=NC(N)=C1C2=CC=C(Cl)C=C2
NCGC00025273-01,CNC1=C(Cl)C=C(C(=O)N[C@H]2CCN(CC3=CC=CC=C3)[C@H]2C)C(OC)=C1
NCGC00254378-01,C[C@@H](OC1=CC=C(CNC(=O)C2=CC=CN=C2OC3=CC=C4OCOC4=C3)C(F)=C1)C(O)=O
NCGC00016805-01,CN(C(C)=O)C1=C(I)C(NC(C)=O)=C(I)C(C(=O)N[C@H]2C(O)O[C@H](CO)[C@@H](O)[C@@H]2O)=C1I
NCGC00257994-01,COP(OC)OC
NCGC00255623-01,CCOCC(C)O
NCGC00258502-01,CC(C)(CCl)C1=CC=CC=C1
NCGC00260027-01,OC(=O)C1=CC=C(C=O)C=C1
NCGC00257393-01,Cl.CN(C)CCC=C1C2=C(CCC3=C1C=CC=C3)C=CC=C2
NCGC00160648-01,OC1=C(\C=N\NC(=O)C2=CC=NC=C2)C=CC=C1
NCGC00259022-01,OC(=O)C1=C(O)C=CC=C1
NCGC00186464-01,Cl.COCCCOC1=C(OC)C=CC(C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C(C)C)C(=O)NCC(C)(C)C(N)=O)C(C)C)=C1
NCGC00091519-04,CC1=CC=C(O)C=C1
NCGC00016879-01,CC(C)NC(=O)NS(=O)(=O)C1=C(NC2=CC(C)=CC=C2)C=CN=C1
NCGC00260101-01,Cl[Si](Cl)(C1=CC=CC=C1)C2=CC=CC=C2
NCGC00254468-01,COC1=C(O)C=CC(C=O)=C1
NCGC00159461-02,CC(C)CN(C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)O[C@@H]2CCOC2)S(=O)(=O)C3=CC=C(N)C=C3
NCGC00254685-01,CC(C)NC1=CC=C(NC(C)C)C2=C1C(=O)C3=CC=CC=C3C2=O
NCGC00257490-01,[Na+].COC1=NN(C(=O)[N-]S(=O)(=O)C2=C(OC(F)(F)F)C=CC=C2)C(=O)N1C
NCGC00167431-01,CO[C@H]1\C=C\O[C@@]2(C)OC3=C(C2=O)C4=C(C(O)=C3C)C(O)=C(NC(=O)C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C(\C=N\N5CCN(CC5)C6CCCC6)=C4O
NCGC00166169-01,[O-][N+](=O)\N=C1/NCCN1CC2=CN=C(Cl)C=C2
NCGC00016977-01,Cl.CCN[C@H]1C[C@H](C)S(=O)(=O)C2=C1C=C(S2)S(N)(=O)=O
NCGC00258037-01,OS(O)(=O)=O
NCGC00167524-01,CCC(C)(C)C1=CC=C(CC(C)CN2C[C@H](C)O[C@H](C)C2)C=C1
NCGC00259132-01,CCCCOCCOC(C)=O
NCGC00181743-02,NCCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H]2CSSC[C@H](N)C(=O)N[C@@H](CC3=CC=C(O)C=C3)C(=O)N[C@@H](CC4=CC=CC=C4)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N2)C(=O)NCC(N)=O
NCGC00095045-01,CC(=O)NC1=CC=C(C=C1)S(=O)(=O)NC2=CC=C(C=C2)[N+]([O-])=O
NCGC00255056-01,COCCCOCCCOC
NCGC00256885-01,O.OS(O)(=O)=O.COC1=CC=C(N)C=C1N
NCGC00016257-04,CN(C)C1=C(C)N(C)N(C1=O)C2=CC=CC=C2
NCGC00259870-01,CCC(O)OC(O)CC
NCGC00159533-01,Cl.C1CN(CCN1)C2=CC=CC3=C2OCCO3
NCGC00255192-01,ClC1=CC=C(C=N1)C(Cl)(Cl)Cl
NCGC00256269-01,CN\C(NCCSCC1=CC=C(CN(C)C)O1)=C/[N+]([O-])=O
NCGC00258741-01,OC(=O)C1=CC=CC(Cl)=C1Cl
NCGC00256304-01,CC(C)(C)NCCNC(C)(C)C
NCGC00024257-04,Cl.CNC[C@H](O)C1=CC(O)=CC=C1
NCGC00091009-03,[H][C@@]12CC[C@](C)(O)[C@@]1(C)CC[C@@]3([H])[C@@]2([H])CCC4=CC(=O)CC[C@]34C
NCGC00257564-01,CC(C)C1CCC(C)CC1O
NCGC00254267-01,CCCCCCC(O)=O
NCGC00256860-01,C(N1C=CC=C1)C2=CC=CO2
NCGC00256737-01,OC(=O)\C=C/C(O)=O.CC(C)(C)NC[C@H](O)COC1=NSN=C1N2CCOCC2
NCGC00016492-01,COC1=CC=CC=C1OCC(O)COC(N)=O
NCGC00015823-02,CN1C(C(=O)NC2=NC=CC=C2)=C(O)C3=C(C=CC=C3)S1(=O)=O
NCGC00183845-01,NC1=C(NC\C=C/COC2=NC=CC(CN3CCCCC3)=C2)C(=O)C1=O
NCGC00167578-01,O.O.[Ca++].[H][C@@]12CN(C[C@]1([H])CCCC2)C(=O)C[C@H](CC3=CC=CC=C3)C([O-])=O.[H][C@@]45CN(C[C@]4([H])CCCC5)C(=O)C[C@H](CC6=CC=CC=C6)C([O-])=O
NCGC00257373-01,NC1=CC(Cl)=CC(Cl)=C1
NCGC00253962-01,CC1=CC(=CC=C1N)C2=CC=C(N)C(C)=C2
NCGC00256538-01,CC=CC1=CC2=C(OCO2)C=C1
NCGC00258401-01,CC(C(O)=O)C1=CC(=CC=C1)C(=O)C2=CC=CC=C2
NCGC00256955-01,CCOP(Cl)(Cl)=O
NCGC00254067-01,CC(C)(C)C1=CC=CC(=C1O)C(C)(C)C
NCGC00247687-01,Cl.CCC(=O)N([C@@H]1CCN(CCC2=CC=CC=C2)C[C@@H]1C)C3=CC=CC=C3
NCGC00259574-01,CC(C)C1=CC=C(CO)C=C1
NCGC00013414-03,OC(=O)CCC1=NC2=C(N1)C=CC=C2
NCGC00257864-01,CC(C)(C)C1=CC=C(OCC2CO2)C=C1
NCGC00257410-01,[Na+].[Na+].[O-]S(=O)(=O)OOS([O-])(=O)=O
NCGC00016043-03,OC1=C(O)C=C(C=C(C#N)C#N)C=C1
NCGC00016836-01,[H][C@]12C[C@@H](N)[C@@H](O[C@@H]3[C@@H](N)C[C@@H](N)[C@H](O)[C@H]3O)O[C@]1([H])[C@H](O)[C@H](NC)[C@@H](O[C@H]4O[C@H](CO)[C@@H](N)[C@H](O)[C@H]4O)O2
NCGC00260289-01,[Na+].CC([O-])=O
NCGC00254725-01,CCCCCOC(=O)COC1=C(Cl)C=C(F)C(=C1)N2C(=O)C3=C(CCCC3)C2=O
NCGC00094042-01,Cl.CN[C@@H]1C[C@H](C2=CC=CC=C12)C3=CC=C(Cl)C(Cl)=C3
NCGC00016829-05,CN1C(C(=O)NC2=NOC(C)=C2)=C(O)C3=C(C=CC=C3)S1(=O)=O
NCGC00254822-01,CN(C)NC(=O)CCC(O)=O
NCGC00166147-02,[H][C@@]1(CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C3/C[C@@H](O)CC[C@@H]3C)[C@H](C)\C=C\[C@H](C)C(C)C
NCGC00165905-01,[Na+].[H][C@]12C[C@@H](O)[C@H](\C=C\[C@@H](O)C3CCCCC3)[C@@]1([H])C\C(O2)=C\C4=CC=CC(=C4)C(O)=O
NCGC00255117-01,Cl[Pd]Cl
NCGC00256139-01,CC\C=C/CC1=C(C)CCC1=O
NCGC00025302-01,Cl.FC1=CC=C(C=C1)C(=O)C2CCN(CCN3C(=S)NC4=CC=CC=C4C3=O)CC2
NCGC00258642-01,CC(=O)C(Cl)Cl
NCGC00168264-01,Cl.CC(N)CC1=CC2=C(OCO2)C=C1
NCGC00257878-01,CC1=CC=CC=C1C#N
NCGC00258460-01,OS(O)(=O)=O.CNC1=CC=C(O)C=C1.CNC2=CC=C(O)C=C2
NCGC00181300-01,CCCC(=O)OC[C@@H](OC(=O)CCC)[C@@H](OC(=O)CCC)[C@H](CN1C2=NC(=O)NC(=O)C2=NC3=C1C=C(C)C(C)=C3)OC(=O)CCC
NCGC00255696-01,[Cl-].CCCCCCCCCC[N+](C)(CCCCCCCCCC)CCC[Si](OC)(OC)OC
NCGC00254374-01,O=C(OCCCCCCOC(=O)C1=CC=CC=C1)C2=CC=CC=C2
NCGC00255542-01,[H][C@]12N3CCC[C@@]1(CC)C[C@@](O)(N4C5=C(C=CC=C5)C(CC3)=C24)C(=O)OC
NCGC00181009-01,[Br-].COC1CC(C[N+](C)(C)C1)=C(C2=CC=CS2)C3=CC=CS3
NCGC00256716-01,CC(C)C1CCC(O)CC1
NCGC00164583-01,CC1(C)S[C@@H]2[C@H](\N=C\N3CCCCCC3)C(=O)N2[C@H]1C(O)=O
NCGC00257807-01,CC(C)(C)OCC1CO1
NCGC00183097-01,[Na+].[H][C@]12C[C@@H](O)[C@H](\C=C\[C@@H](O)C(C)CC#CC)[C@@]1([H])C3=CC=CC(CCCC([O-])=O)=C3O2
NCGC00259197-01,CC(C)CC(C)(O)C#CC(C)(O)CC(C)C
NCGC00256869-01,CC(C)CCOC(=O)C1=CC=CC=C1
NCGC00259946-01,N1C(=NC2=C1C=CC=C2)C3=CSC=N3
NCGC00091952-01,[O-]C(=O)\C=C/C([O-])=O.C[NH+](C)CCC(C1=CC=CC=C1)C2=CC=CC=[NH+]2
NCGC00255104-01,CNC(=O)OC1=CC=CC=C1OC(C)C
NCGC00257838-01,ClCCOCOCCCl
NCGC00256774-01,CCCC1CCOC(C)S1
NCGC00095153-01,[H][C@@]12C[C@H](N(C(=O)[C@H](C)N[C@@H](CCC3=CC=CC=C3)C(=O)OCC)[C@@]1([H])CCCC2)C(O)=O
NCGC00159490-02,O.O.[H][C@@]12[C@@H](O)[C@@]3([H])C(C(=O)C4=C(C=CC=C4O)[C@@]3(C)O)=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@H]2N(C)C
NCGC00013556-01,N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(O)=O
NCGC00254639-01,CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)C1=CC=CC=C1
NCGC00258590-01,CCCCOCCCC
NCGC00181026-01,ClC1=CC=C(C=NNC(=N)NN=CC2=CC=C(Cl)C=C2)C=C1
NCGC00160514-01,COC1=C(OC)C(=O)C(CCCCCCCCCCO)=C(C)C1=O
NCGC00257561-01,CC(C)CCOC(=O)C=CC1=CC=CC=C1
NCGC00259571-01,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCC2
NCGC00257320-01,C1=CC=C(C=C1)C2=CC(=CC=C2)C3=CC=CC=C3
NCGC00162267-02,OC1=C2O[C@H]3C(=O)CC[C@@]4(O)[C@H]5CC(C=C1)=C2[C@@]34CCN5CC=C
NCGC00255307-01,OC1=CC2=C(C(=O)C=C(O2)C3=CC=CC=C3)C(O)=C1
NCGC00258102-01,CCCCCCCCCOC(=O)C1=CC=C(O)C=C1
NCGC00255132-01,CC(C)=C[C@@H]1[C@@H](C(=O)OCC2=COC(CC3=CC=CC=C3)=C2)C1(C)C
NCGC00181099-01,[H][C@@]12[C@H]3OCC14CCCC(C)(C)[C@]4([H])CC[C@]2(C)OC5=C3C(O)=CC(C)=C5
NCGC00254215-01,CCCCC(CC)CO
NCGC00253922-01,NC1CCCCC1
NCGC00257473-01,[H][C@@]12CC[C@@H](C)[C@]13C[C@@H](C(C)=C(C3)C(C)=O)C2(C)C
NCGC00254534-01,COCC1=NN=C(N1C2=C(Cl)C(Cl)=CC3=C2NC(=O)C(=O)N3)C4=C[N+]([O-])=CC=C4
NCGC00257856-01,CNC.OC(=O)COC1=C(Cl)C=C(Cl)C=C1
NCGC00160400-01,CNC1=C2CCCCC2=NN1C
NCGC00254007-01,NC(=O)NO
NCGC00256012-01,CC(C)O[Ti](OCCN(CCO)CCO)(OCCN(CCO)CCO)OC(C)C
NCGC00260492-01,CC(=O)C1=CC2=C(C=C1)C3=CC=CC=C3C2
NCGC00260244-01,CC[N+]1=CC=CC=C1.[O-]S(=O)(=O)C(F)(F)F
NCGC00254025-01,OC(=O)C1C2CCC(O2)C1C(O)=O
NCGC00095139-01,CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NN=NN3)[C@H](C(C)C)C(O)=O
NCGC00181028-01,CC(C)(CO)C(O)C(=O)NCCC(=O)NCCSSCCNC(=O)CCNC(=O)C(O)C(C)(C)CO
NCGC00258800-01,Cl.Cl.NC1=CC=C(O)C(N)=C1
NCGC00256050-01,COC(=O)CCCCCCCC(=O)OC
NCGC00166059-01,CC(=O)O[Al](O)OC(C)=O
NCGC00255595-01,[Cl-].Cl\C=C/C[N+]12CN3CN(CN(C3)C1)C2
NCGC00016462-01,CCN(C(=O)C=CC)C1=CC=CC=C1C
NCGC00163225-01,[I-].CC[N+](CC)(CC)CCOC1=CC=C(\C=C\C2=CC=CC=C2)C=C1
NCGC00142625-06,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C
NCGC00016403-01,Cl.NCC1=CC=C(C=C1)S(N)(=O)=O
NCGC00259764-01,CC1=C(O)C(=O)C=CO1
NCGC00254464-01,CCCCCCCCCCCC(=O)OC
NCGC00095741-01,NC(N)=N.NC(N)=N.OC(O)=O
NCGC00254562-01,OC(=O)C1=CC(=CC=C1)C(F)(F)F
NCGC00257843-01,C(OC1=CC=CC=C1)C2CO2
NCGC00256606-01,OC1=CC=C(C(=O)C2=CC=CC=C2)C(O)=C1
NCGC00255790-01,OC(=O)C(=O)CC1=CNC2=C1C=CC=C2
NCGC00255383-01,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O
NCGC00260184-01,F[B-](F)(F)F.CCN1C=C[N+](C)=C1C
NCGC00023193-04,[H][C@@]12C[C@H]3OC(C)(C)O[C@@]3(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]4(F)[C@@]2([H])CCC5=CC(=O)C=C[C@]45C
NCGC00260194-01,F[P-](F)(F)(F)(F)F.CCCCCCCCCCCCCCCCN1C=C[N+](C)=C1
NCGC00258122-01,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(OC(=O)CCC(O)=O)=C2C
NCGC00254224-01,CCCCCCOC(=O)C1=C(C=CC=C1)C(=O)OCCCCCC
NCGC00259638-01,CC(=O)OC\C=C(/C)CCC=C(C)C
NCGC00256814-01,O=C(OCC=CC1=CC=CC=C1)C=CC2=CC=CC=C2
NCGC00259183-01,CCOP(=S)(OCC)SCSC(C)(C)C
NCGC00017022-05,OCCS(O)(=O)=O.OCCS(O)(=O)=O.NC(=N)C1=CC=C(OCCCCCOC2=CC=C(C=C2)C(N)=N)C=C1
NCGC00257969-01,CC(=C)C(=O)OCCO
NCGC00258673-01,NC1=NC=NC2=C1N=CN2[C@H]3CC[C@@H](CO)O3
NCGC00254079-01,C1CC2=C3C1=CC=CC3=CC=C2
NCGC00254678-01,CCCCN(CC)C1=C(C=C(C=C1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O
NCGC00255576-01,CCCCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
NCGC00257793-01,CCOP(=O)(OCC)SCCSCC
NCGC00160678-01,O=C(CN1CCN(CC2=CC=C3OCOC3=C2)CC1)N4C5=CC=CC=C5SC6=CC=CC=C46
NCGC00166250-01,[Na+].[Na+].[Na+].OC1=CC(=CC2=CC(=CC(N=NC3=C4C=CC=C(C4=C(NC5=CC=CC=C5)C=C3)S([O-])(=O)=O)=C12)S([O-])(=O)=O)S([O-])(=O)=O
NCGC00259071-01,NC1=CC=C2C(=O)C3=C(C=CC=C3)C(=O)C2=C1
NCGC00259624-01,ClCC(=O)C1=CC=CC=C1
NCGC00163240-01,[Br-].CN(C)C(=O)OC1=CC=CC(=C1)[N+](C)(C)C
NCGC00258425-01,C=CC1CO1
NCGC00091009-05,[H][C@@]12CC[C@](C)(O)[C@@]1(C)CC[C@@]3([H])[C@@]2([H])CCC4=CC(=O)CC[C@]34C
NCGC00016878-01,NS(=O)(=O)C1=C(OC2=CC=CC=C2)C(=CC(=C1)C(O)=O)N3CCCC3
NCGC00260330-01,CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C
NCGC00259239-01,[Cl-].CCCCN1C=C[N+](C)=C1
NCGC00183655-01,CCCCOC(=O)C(=O)NC1=CC(=CC=C1)C2=NN=NN2
NCGC00017055-01,O.O.O.O.O.[Ca++].NC1=NC(=O)C2=C(NCC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC([O-])=O)C([O-])=O)N2C=O)N1
NCGC00260359-01,[H][C@@]1(F)CN(C(=O)OC(C)(C)C)[C@@]([H])(C1)C(O)=O
NCGC00016908-01,Cl.CN(C\C=C\C1=CC=CC=C1)CC2=C3C=CC=CC3=CC=C2
NCGC00183859-01,[Br-].CC[N+]1(CC)CCC(C1C)=C(C2=CC=CC=C2)C3=CC=CC=C3
NCGC00260440-01,OC1=CC=CC2=CC3=CC=CC(O)=C3C(O)=C12
NCGC00168247-01,OS(O)(=O)=O.[2H]C([2H])([2H])[C@H](N)CC1=CC=CC=C1.[2H]C([2H])([2H])[C@H](N)CC2=CC=CC=C2
NCGC00021151-02,OC(=O)C1=CC=CN=C1.CN(CCO)CC(O)CN2C=NC3=C2C(=O)N(C)C(=O)N3C
NCGC00257631-01,CC(C)(C)CC(C)(C)N
NCGC00161326-04,[H][C@@]1(CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C3\C[C@@H](O)CCC3=C)[C@H](C)CCCC(C)(C)O
NCGC00254089-01,NC(=O)CN(CC(F)(F)F)C1=CC(=C(C=C1)C#N)C(F)(F)F
NCGC00259720-01,CCCCC\C=C/C\C=C/CCCCCCCC(O)=O
NCGC00258941-01,OC(=O)CCCC1=CC=C(C=C1)N(CCCl)CCCl
NCGC00256028-01,COC(=O)NCCC[Si](OC)(OC)OC
NCGC00254697-01,CON(C)C(=O)NC1=CC(Cl)=C(Br)C=C1
NCGC00259678-01,CN(C)C1=CC=C(C=C1)N=O
NCGC00258549-01,[Na+].CNCCS([O-])(=O)=O
NCGC00017063-01,O.O.Cl.Cl.CCN(CC)CC1=C(O)C=CC(NC2=CC=NC3=C2C=CC(Cl)=C3)=C1
NCGC00091278-03,NC1=CC(=C(N)C=C1)[N+]([O-])=O
NCGC00255295-01,CCCCNC(=O)NS(=O)(=O)C1=CC=C(N)C=C1
NCGC00256888-01,O.[Ca++].O=C1[N-]S(=O)(=O)C2=C1C=CC=C2.O=C3[N-]S(=O)(=O)C4=C3C=CC=C4
NCGC00182084-01,NC1=C(C=C(C(=C1)C(Cl)=C(Cl)Cl)S(N)(=O)=O)S(N)(=O)=O
NCGC00027960-02,COC1=CC(=CC(OC)=C1OC)C(=O)NCCCCCC(O)=O
NCGC00091044-02,ONC(=O)C1=CC=CC=C1
NCGC00095792-01,CC1=C(O)C(=CC=C1)C(O)=O
NCGC00255095-01,CCC(C)(O)CCC=C(C)C
NCGC00167487-01,C[C@](O)(CS(=O)(=O)C1=CC=C(F)C=C1)C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F
NCGC00160483-01,CN1CCN(CCC(=O)N2C3=CC=CC=C3SC4=CC=C(C=C24)C(F)(F)F)CC1
NCGC00160422-01,Cl.CC(C)(N)CC1=CC=C(Cl)C=C1
NCGC00256011-01,CCC(=O)OCC1=CC=CC=C1
NCGC00159511-02,CN(CC1=CC=C(C=C1)C(C)(C)C)CC2=CC=CC3=C2C=CC=C3
NCGC00254864-01,COC=O
NCGC00260069-01,NCCS(O)(=O)=O
NCGC00016305-01,NC1=CC=C(C=C1)S(=O)(=O)NC2=NC=CC=N2
